idx,account_name,company_name,account_num,pay_ttl,recent,recency_num
0,gddxhk,广东省电信合作项目回款,1,703840.0,395,1
1,hhbj,海航北京,2,400000.0,606,1
2,shxyfw,上海信义房屋中介咨询有限公司,2,359996.4,411,1
3,gddxfc,广东省电信合作分成计费账号,1,323188.55,426,1
4,hipac,杭州洋驼网络科技有限公司--在线,2,300000.0,349,1
5,hezi,深圳盒子信息科技有限公司,1,288000.0,342,1
6,qczj3,汽车之家在线客服2,1,286250.0,405,1
7,mzyh,北京美中宜和妇儿医院有限公司,1,273600.0,363,1
8,gzyyjs,广州悦悦驾驶培训有限公司,2,266400.0,371,1
9,dfflw1,东方福利网-上海东福网络科技有限公司,1,260000.0,345,1
10,jdbxq,上海吉堡教育信息咨询有限公司,1,200400.0,346,1
11,fsrxzc,佛山12345热线,1,199704.0,468,1
12,zkcy,北京中科创元科技有限公司,1,188076.0,345,1
13,lianx,联想（北京）有限公司,2,182970.0,367,1
14,qiaowai,北京侨外出国咨询服务有限公司,1,180000.0,509,1
15,obtzg,欧波同(中国)有限公司,1,179955.0,343,1
16,lzhcw,深圳市老字号财务顾问有限公司,8,154512.0,346,1
17,fxjjwl,广西叫酒网络科技有限公司,1,150000.0,347,1
18,gzsdfc,广州实地房地产开发有限公司,1,150000.0,395,1
19,drjtt,东软 一汽红旗项目,1,146000.0,556,1
20,nwd1,上海你我贷金融信息服务有限公司,2,139000.0,342,1
21,zdph,中电普华信息技术有限公司,1,126000.0,382,1
22,sjzxz,石家庄市行政审批局,1,124500.0,658,1
23,txjy,深圳中大互联在线科技有限公司,3,116500.0,342,1
24,gdltxxjs,广东联通线下结算回款账户,1,114581.53,384,1
25,ytuo3,杭州洋驼网络科技有限公司,1,103400.0,442,1
26,shjdbdx,上海吉堡教育信息咨询有限公司,1,100000.0,622,1
27,wkzf_cw,悟空找房（财务）,2,100000.0,342,1
28,tj12348,天津12348,1,100000.0,345,1
29,zdtzcs,上海证大投资咨询有限公司催收部门,8,96300.0,343,1
30,zdjr,上海证大（录音扣费账户）,1,96000.0,511,1
31,mszh,北京民商智惠电子商务（私云充值计费）,1,96000.0,530,1
32,arz,爱睿智健康科技(北京)有限公司,1,92400.0,355,1
33,nwdcs,上海你我贷互联网金融信息服务有限公司,1,90000.0,591,1
34,fxkj2,广州碧云信息科技有限公司,1,87950.0,342,1
35,atlskpk,阿特拉斯.科普柯(上海)贸易有限公司,3,82908.0,342,1
36,fsrs,富德生命人寿保险股份有限公司深圳公司,2,81188.0,543,1
37,xieruilin,谢瑞麟（广州）珠宝有限公司,1,80000.0,628,1
38,shijilong,广州世纪龙信息有限公司,3,78700.0,342,1
39,xiaom1,小米科技有限责任公司,1,76800.0,527,1
40,wxsd,北京网学时代教育科技有限责任公司1,1,76800.0,370,1
41,xtzn,鑫泰智能汽车科技（天津）有限公司,1,74160.0,619,1
42,GDCATV,广东有线广播电视网络有限公司,1,72000.0,472,1
43,szykl,深圳市优克联新技术有限公司,1,72000.0,353,1
44,2144,广州德仁（专用）,1,71200.8,372,1
45,shlpkj,外联移民在线客服,1,70800.0,438,1
46,dnkj,北京德南科技有限公司,2,70400.0,349,1
47,nhjk,杭州诺辉健康科技有限公司,1,69999.84,623,1
48,rewl,杭州热尔网络科技有限公司,3,69998.0,381,1
49,zxxt,中信信托有限责任公司,2,69600.0,375,1
50,szkairui,深圳市开锐教育科技发展有限公司,1,69000.0,420,1
51,kairui1,尘锋-深圳市开锐教育科技发展有限公司,1,69000.0,417,1
52,sykj,首约科技（北京）有限公司,6,68400.0,349,1
