function,usage_count,usage_rate,retention
喂养全知道,1589 ,0.01 ,0.12 
美妈甄选推荐,1113 ,0.01 ,0.15 
品牌深度解密-底部内容入口,89 ,0.00 ,0.16 
我的爱他美3使用心得-首页,14059 ,0.12 ,0.06 
正品渠道购买首页,7027 ,0.06 ,0.13 
溯源首页,21896 ,0.18 ,0.09 
产品可追溯（站内landingPage）,2674 ,0.02 ,0.11 
个人中心页,12593 ,0.11 ,0.09 
会员专属解锁任务赢好礼 页面,1592 ,0.01 ,0.17 
黄金便便解码器 首页,19120 ,0.16 ,0.05 
品牌深度解密页面,1451 ,0.01 ,0.15 
搜索,927 ,0.01 ,0.12 
浏览四重新客礼,10221 ,0.09 ,0.12 
秒懂爱美他,3306 ,0.03 ,0.11 
纽家育儿顾问-newMember-弹窗-点击即刻联系,6221 ,0.05 ,0.12 
微商城正品直购,1094 ,0.01 ,0.18 
营养全解析-立即购买,187 ,0.00 ,0.16 
育儿顾问随心问,615 ,0.01 ,0.16 
