name,value
"云客服,客服机器人,CRM,云电销,工作手机",1.0000
"智能客服,云呼叫中心,CRM,业务定制平台,客服机器人,热线机器人,营销机器人,SCRM,智能电销,营销在线客服",1.0000
"云电销,CRM",1.0000
营销在线客服,2.0000
"零代码平台,商业智能平台,开放平台,业务定制平台",1.0000
"客服机器人,云电销",1.0000
"云呼叫中心,协同工单",2.0000
"云电销,客服机器人",2.0000
"云客服,云电销,工作手机,CRM",1.0000
"智能客服,协同工单,云呼叫中心,客服机器人,CRM",1.0000
"云电销,客服机器人,CRM",1.0000
"云客服,CRM,云电销",1.0000
"云客服,工作手机",6.0000
"云客服,云电销,CRM,工作手机,客服机器人",1.0000
"云客服,云电销,客服机器人,CRM,工作手机",10.0000
"云呼叫中心,协同工单,营销在线客服,智能电销",1.0000
"云客服,CRM,云电销,工作手机",1.0000
"SCRM,CRM,智能客服,开放平台,云呼叫中心",1.0000
"云呼叫中心,智能客服,协同工单",2.0000
"云客服,客服机器人,工作手机,CRM",2.0000
云客服、客服机器人、云电销、工作手机、CRM,2.0000
"智能客服,营销在线客服,CRM,智能电销,客服机器人,营销机器人,零代码平台,业务定制平台,商业智能平台,开放平台",1.0000
"智能客服,云呼叫中心",2.0000
云客服、客服机器人、CRM、工作手机、云电销,1.0000
"营销机器人,智能电销",1.0000
云电销,30.0000
"智能客服,云呼叫中心,协同工单,智能电销,工作手机,SCRM,营销在线客服,CRM,语音机器人,营销机器人,热线机器人,客服机器人,业务定制平台,开放平台,商业智能平台,零代码平台",1.0000
客服机器人,18.0000
"智能客服,CRM,SCRM,云呼叫中心",1.0000
"云客服,CRM",7.0000
"语音机器人,营销机器人",1.0000
"智能客服,云呼叫中心,协同工单,营销在线客服,智能电销,CRM,工作手机,SCRM,客服机器人,热线机器人,语音机器人,营销机器人,零代码平台,商业智能平台,业务定制平台,开放平台",1.0000
"智能电销,CRM,工作手机,SCRM",1.0000
"云客服,工作手机,云电销,CRM,客服机器人",2.0000
"云客服,客服机器人,CRM",3.0000
"云呼叫中心,协同工单,语音机器人,热线机器人",1.0000
"协同工单,智能客服,CRM,SCRM,营销在线客服,工作手机,业务定制平台,开放平台",1.0000
"零代码平台,商业智能平台,业务定制平台,开放平台,智能电销,工作手机,CRM,SCRM",1.0000
"云客服,云电销,工作手机",1.0000
"云呼叫中心,协同工单,智能客服",1.0000
"智能客服,协同工单,工作手机",1.0000
"云客服,云电销,CRM,客服机器人,工作手机",1.0000
协同工单,2.0000
"云电销,CRM,客服机器人",1.0000
"云客服,客服机器人,云电销,工作手机,CRM",2.0000
"协同工单,智能客服",1.0000
"云客服,客服机器人,云电销,CRM",1.0000
"云呼叫中心,CRM,开放平台,零代码平台",1.0000
"CRM,云电销,云客服",1.0000
"CRM,云电销",2.0000
"智能客服,智能电销,SCRM,营销机器人",1.0000
云客服、工作手机、客服机器人、云电销、CRM,1.0000
"云客服,CRM,工作手机,云电销",1.0000
工作手机,4.0000
"云客服,客服机器人,工作手机",2.0000
"云客服,客服机器人",29.0000
云客服、CRM、客服机器人、工作手机、云电销,1.0000
"营销机器人,热线机器人,语音机器人",1.0000
"智能客服,营销在线客服",1.0000
"云客服,工作手机,CRM,云电销,客服机器人",1.0000
"智能客服,云呼叫中心,协同工单",7.0000
云客服、客服机器人,3.0000
智能客服,32.0000
"云客服,客服机器人,云电销,CRM,工作手机",1.0000
"热线机器人,语音机器人,营销机器人,云呼叫中心,智能客服",1.0000
"客服机器人,云客服,云电销,工作手机",1.0000
客服机器人、云客服,1.0000
"云客服,客服机器人,CRM,云电销",1.0000
"云电销,CRM,云客服",1.0000
"云客服,云电销,客服机器人,工作手机,CRM",8.0000
云客服、云电销,2.0000
"CRM,云客服,客服机器人,工作手机",1.0000
"语音机器人,营销机器人,客服机器人",1.0000
云客服、工作手机,2.0000
"云客服,云电销,工作手机,客服机器人,CRM",1.0000
"智能客服,云呼叫中心,智能电销",1.0000
"营销在线客服,智能电销,CRM,智能客服,云呼叫中心,协同工单,SCRM,工作手机,客服机器人,语音机器人,营销机器人,热线机器人,业务定制平台,开放平台,商业智能平台,零代码平台",1.0000
"智能客服,云呼叫中心,协同工单,SCRM,营销在线客服,客服机器人",1.0000
云电销、客服机器人、云客服、工作手机,1.0000
"云客服,云电销,客服机器人,CRM",2.0000
业务定制平台,1.0000
"云客服,工作手机,客服机器人",1.0000
"云电销,CRM,工作手机",1.0000
"SCRM,客服机器人,零代码平台,业务定制平台",1.0000
"云客服,云电销",19.0000
云呼叫中心,23.0000
"智能客服,客服机器人,营销在线客服",1.0000
"云客服,云电销,工作手机,CRM,客服机器人",2.0000
"协同工单,云呼叫中心,智能客服",1.0000
"工作手机,云客服",1.0000
"云电销,工作手机,CRM,客服机器人,云客服",1.0000
智能电销,5.0000
云客服,196.0000
"云客服,CRM,客服机器人",1.0000
"智能电销,云呼叫中心",2.0000
CRM,15.0000
零代码平台,1.0000
"云电销,云客服",1.0000
"云客服,云电销,CRM",2.0000
"云电销,工作手机",1.0000
"云客服,客服机器人,云电销",1.0000
"客服机器人,云客服",2.0000
云客服、云电销、客服机器人、工作手机、CRM,1.0000
"客服机器人,营销机器人,语音机器人",1.0000
"工作手机,智能电销",1.0000
